X1,X2,X3,X4,Y1,Y2,Y3,Y4
40,30,0,30,0,25,0,0
20,0,0,10,10,90,0,0
5,0,0,50,20,50,0,0
30,0,0,30,0,60,0,0
40,20,0,20,0,95,0,0
60,0,0,5,0,100,0,0
90,0,0,10,0,100,0,0
100,0,0,0,20,80,0,0
0,0,0,10,40,60,0,0
15,0,0,20,25,10,0,0
20,0,0,10,5,50,0,0
0,0,0,50,5,60,0,0
10,0,0,30,30,60,0,0
40,0,0,20,50,10,0,0
10,0,0,40,80,20,0,0
60,0,0,0,100,0,0,0
45,0,0,0,5,60,0,0
100,0,0,0,100,0,0,0
20,0,0,0,20,0,0,0
0,0,0,60,0,50,0,0
0,0,0,80,0,75,0,0
0,0,0,50,0,50,0,0
30,10,0,60,0,100,0,0
0,0,0,50,0,50,0,0
50,20,0,30,0,100,0,0
5,15,0,80,0,100,0,0
60,40,0,0,10,90,0,0
60,40,0,0,50,50,0,0
94,5,0,0,90,10,0,0
80,0,0,20,0,100,0,0
50,50,0,0,25,75,0,0
10,40,50,0,75,25,0,0
12,12,75,0,10,90,0,0
50,50,0,0,15,85,0,0
50,40,10,0,80,20,0,0
0,0,100,0,100,0,0,0
0,0,100,0,100,0,0,0
70,30,0,0,50,50,0,0
40,40,20,0,50,50,0,0
0,0,100,0,100,0,0,0
25,25,50,0,100,0,0,0
40,40,0,20,80,20,0,0
90,0,0,10,100,0,0,0
100,0,0,0,100,0,0,0
100,0,0,0,90,10,0,0
10,0,0,90,100,0,0,0
80,0,0,20,100,0,0,0
60,0,0,30,80,0,0,0
40,0,0,0,0,30,0,0
50,0,0,50,100,0,0,0
50,0,0,0,40,0,0,0
30,30,0,20,30,60,0,0
20,20,0,40,0,100,0,0
20,80,0,0,0,100,0,0
0,10,0,60,0,75,0,0
0,50,0,30,0,75,0,0
50,50,0,0,30,70,0,0
0,0,0,60,0,60,0,0
20,20,0,60,0,100,0,0
90,10,0,0,70,30,0,0
100,0,0,0,100,0,0,0
15,15,0,30,0,40,0,0
100,0,0,0,25,75,0,0
95,0,0,5,90,10,0,0
95,0,0,5,90,10,0,0
60,40,0,0,50,50,0,0
30,60,10,10,50,10,0,0
50,0,50,50,100,0,0,0
60,30,0,10,60,40,0,0
90,8,0,2,80,20,0,0
30,30,30,40,60,40,0,0
33,33,33,33,75,25,0,0
20,10,0,40,0,100,0,0
50,0,0,50,40,60,0,0
75,12,0,12,50,50,0,0
75,0,0,25,40,60,0,0
30,0,0,50,0,100,0,0
50,10,0,30,5,95,0,0
100,0,0,0,60,40,0,0
50,0,0,50,20,80,0,0
10,0,0,90,0,100,0,0
30,30,0,20,0,85,0,0
20,20,0,20,0,75,0,0
90,0,0,0,50,25,0,0
30,0,0,0,30,5,0,0
20,30,0,50,20,80,0,0
50,30,0,10,50,50,0,0
80,0,0,0,70,10,0,0
80,0,0,0,50,0,0,0
60,10,0,25,80,15,0,0
50,0,0,0,75,0,0,0
70,0,0,0,75,0,0,0
100,0,0,0,85,15,0,0
60,30,0,0,40,60,0,0
80,20,0,0,50,50,0,0
100,0,0,0,100,0,0,0
100,0,0,0,95,5,0,0
0,0,0,60,0,50,0,0
30,20,0,30,0,60,0,40
15,0,0,35,20,30,0,0
40,0,0,45,70,20,0,0
30,0,0,45,20,40,0,20
60,10,0,30,10,65,5,20
40,20,0,40,0,25,0,75
100,0,0,0,70,0,0,30
100,0,0,0,40,60,0,0
80,10,0,10,40,60,0,0
90,0,0,10,10,0,0,90
100,0,0,0,20,10,0,70
30,50,0,20,10,90,0,0
60,40,0,0,50,50,0,0
100,0,0,0,80,10,0,10
60,0,0,40,60,10,30,0
50,50,0,0,0,100,0,0
60,30,0,10,25,75,0,0
40,0,0,60,30,20,50,0
30,0,0,70,0,50,50,0
50,20,0,30,0,100,0,0
50,50,0,0,25,75,0,0
90,10,0,0,50,50,0,0
100,0,0,0,60,40,0,0
50,0,0,50,70,30,0,0
10,10,0,80,0,100,0,0
50,50,0,0,30,70,0,0
75,0,0,25,80,20,0,0
40,0,0,60,0,100,0,0
90,10,0,10,75,25,0,0
45,45,0,55,30,70,0,0
20,35,0,80,10,90,0,0
80,0,0,20,70,30,0,0
100,0,0,0,90,0,0,0
75,0,0,25,50,50,0,0
60,5,0,40,50,50,0,0
40,0,0,60,60,40,0,0
60,0,0,40,70,15,0,0
90,10,0,10,75,25,0,0
50,0,5,0,30,20,0,0
70,0,30,0,70,30,0,0
60,0,40,0,100,0,0,0
50,0,0,0,50,0,0,0
30,0,50,0,60,40,0,0
5,0,95,0,80,20,0,0
10,0,90,0,70,30,0,0
50,0,0,0,15,30,0,0
20,0,80,0,50,50,0,0
0,0,100,0,90,10,0,0
0,0,100,0,75,25,0,0
90,0,10,0,60,30,10,0
0,0,100,0,80,10,10,0
0,0,100,0,60,40,0,0
0,40,60,40,50,50,0,0
