"","AGR","MIN","MAN","PS","CON","SER","FIN","SPS","TC"
"Belgium",-0.78,-0.37,0.05,0,-0.45,0.24,0.51,1.13,0.28
"Denmark",-0.54,-0.38,0.01,-0.16,-0.41,-0.22,0.61,1.07,0.44
"France",-0.58,-0.35,-0.01,0.16,-0.16,0.21,0.89,0.7,-0.04
"Germany",-0.73,-0.31,0.48,0.32,0.68,0.3,0.74,0.16,-0.69
"Greece",0.81,-0.33,-0.11,0.32,-0.27,0.5,-0.34,-0.82,0.36
"Ireland",0.13,-0.32,-0.05,0.64,-0.16,0.42,0.44,-0.17,-0.53
"Italy",-0.31,-0.26,0.17,-1.29,0.57,1.16,-0.51,0.12,-0.94
"Luxembourg",-0.72,-0.38,-0.07,-0.16,0.87,1.08,0.51,0.3,0.28
"Netherlands",-0.65,-0.38,-0.11,-0.16,-2.54,0.55,1.22,1.29,0.28
"Portugal",-0.06,-0.33,0.35,-0.16,0.25,0.81,-0.09,-0.27,-1.34
"Spain",-0.19,-0.33,0.09,-0.32,0.72,0.86,-0.19,-0.03,-0.53
"UK",-0.81,-0.31,0.11,0.64,-0.19,0.88,1.44,0.16,0.04
"Austria",-0.39,-0.35,0.7,0.64,0.35,0.67,0.01,-0.42,-0.04
"Finland",-0.3,-0.37,-0.1,0.64,-0.27,-0.2,0.49,0.71,0.85
"Iceland",-0.14,-0.39,-0.17,0.16,0.9,-0.22,0.34,0.42,0.2
"Norway",-0.52,-0.26,-0.6,0.48,-0.38,0.38,0.24,1.2,1.34
"Sweden",-0.73,-0.35,-0.14,0,-0.41,-0.28,0.69,1.43,0.61
"Switzerland",-0.54,-0.39,0.47,-1.29,0.61,0.94,1.02,-0.45,-0.21
"Albania",3.52,1.8,-2.15,-1.29,-1.51,-2.39,2.17,-3.09,-2.8
"Bulgaria",0.55,-0.39,1.56,-1.29,-0.3,-1.21,-1.29,-0.7,0.85
"Czech/Slovakia",0.05,3.82,-2.15,-1.29,0.32,-1.05,-1.27,-0.47,0.36
"Hungary",0.25,2.87,-2.15,-1.29,-0.41,-0.45,-1.67,0.04,1.9
"Poland",0.93,0.05,0.4,0.16,-0.45,-1.03,-1.34,-0.29,-1.02
"Romania",0.8,-0.1,1.86,1.93,-0.63,-1.69,-1.52,-1.34,0.28
"USSRF",0.51,-0.39,0.9,-1.29,0.98,-1.5,-1.52,-0.16,1.58
"YugoslaviaF",-0.58,-0.14,1.95,2.25,0.21,-0.36,-0.89,-0.9,1.09
"Cyprus",0.11,-0.35,-0.14,-0.48,0.57,1.56,0.01,-0.66,-0.37
"Gibraltar",-0.99,-0.39,-1.43,1.93,3.43,1.72,1.04,0.8,-1.18
"Malta",-0.78,-0.32,0.81,1.13,-1.07,-1.05,-0.69,1.67,0.61
"Turkey",2.65,-0.29,-0.53,-0.97,-0.85,-0.63,-1.07,-1.43,-1.66
